sinopsis	genero
china año 43 1779 ambientada historia dinastía quing li mu bai virtuoso artes marciales poder espada mágica conocida destino verde éste quiere seguir siendo guerrero decide darle espada mejor amigo sir llegue momento entregarla confía enamorada guerrera yu shu lien encargada llevarla ciudad pekín encuentra compañero embargo noche enmascarado entra casa sir roba espada así mu bai shu lien lanzarán búsqueda destino verde despertando ello viejos fantasmas pasado	Aventura
doce años antoine doinel ve obligado sólo convivir problemas conyugales padres atreven afrontar sino soportar exigencias severo profesor día asustado cumplido castigo maestro impuesto decide hacer novillos amigo rené inesperadamente ve madre compañía hombre culpa miedo arrastran serie mentiras riñas van calando ánimo deseando dejar atrás problemas sueña conocer mar traza rené plan escaparse	Drama
conmovedora historia chica sordomuda envían plataforma petrolífera cuidar hombre quedado ciego terrible accidente chica habilidad especial conectar hombres bordo	Romance
corre año 2019 policial políticos tramposos sectas religiosas revolucionarios proyecto científico secreto combinan causar atmósfera explosiva neo-tokyo grupos rivales quieren controlar akira chico extraños poderes psíquicos sido mantenido bajo custodia criogénica 30 años medio tensa atmósfera joven psíquico llamado tetsuo libera akira	Animación
par asesinos escrúpulos consigue huir prisión dejando tras horrible reguero crímenes malhumorado detective jack cates queda opción sacar timador reggie hammond penitenciaría ayude encontrar criminales embargo sólo dispondrán 48 horas hammond deba regresar cárcel	Suspense
canfield mckay heredado enemistad pasado padres hijos muchas generaciones caprichos destino willie mckay buster keaton coge tren nueva york conoce virginia canfield natalie talmadge	Comedia
siglo xxiii almirante james kirk nave enterprise encomienda difícil misión neutralizar extraño cuerpo colisione tierra oficial spock capitán willard decker asesora ilía doctor mccoy ayudan almirante kirk descubrir naturaleza cuerpo sideral provisto mecanismo inteligencia origen terrestre expedición enterprise localiza ente entonces apresta introducirse centro operaciones	Ciencia ficción
bob harris charlotte dos norteamericanos encuentran tokio bob estrella cine mediana edad venido rodar anuncio charlotte mujer joven acompaña todas partes marido fanático trabajo incapaces dormir caminos bob charlotte cruzan casualidad tardará nacer sorprendente amistad aventuran juntos vida nocturna tokio comparten inolvidables experiencias habitantes ciudad terminan descubriendo nueva manera ver vida	Drama
enterprise transporta grupo científicos disponen poner prueba mayor experimento jamás imaginado hombre formación vida planeta inerte	Acción
batman/bruce wayne regresa continuar guerra crimen ayuda teniente jim gordon fiscal distrito harvey dent batman propone destruir crimen organizado ciudad gotham triunvirato demuestra eficacia repente aparece joker nuevo criminal desencadena caos aterrados ciudadanos	Drama
extraña comedia acerca dos hermanos wilbur quiere suicidar harbour trata evitarlo padre muere deja librería conocen mujer hará vida mejor traerá nuevos problemas	Comedia
tras desaparición spock creación planeta génesis tripulación enterprise dispone localizar cuerpo compañero petición padre éste	Ciencia ficción
dos jóvenes enfermos terminales dedicen vivir intensidad alocamiento últimos días saltándose todas normas historia narrada combina modo singular drama comedia presenta situaciones disparadas provocan risa aunque anhelos íntimos protagonistas revelan limitados mar alemán thomas jahn logra impregnarlos entidad dramática atrevida película ganó premio mejor película festival sitges 1997	Comedia
expulsado noche apartamento compartía novia doro tras ser sorprendido ésta compañía mujer atractivo alex queda calle allí conoce walter homosexual atraído lleva fiesta gay presenta norbert propietario gran apartamento importaría compartir pues atraído alex	Comedia
l'arrivée d'un train à ciotat duda filmes famosos historia imagen tren llegando estación pasando cerca cámara mientras reduce velocidad convirtió rápidamente escena absolutamente icónica curiosidad reciente invención llamada cinematógrafo	Documental
danny ocean carismático ladrón tan sólo 24 horas después cumplir larga condena prisión planeando próximo delito objetivo realizar mayor atraco casinos historia ello formará equipo once hombres cada mejor campo embargo surgirá problema inesperado dueño locales terry benedic saliendo tess ex-mujer	Suspense
érase vez castillo vivía inventor dedicó parte vida crear criatura perfecta llamó edward inventor murió repente dejó incompleta creación vez dedos unas horribles manos hojas tijera pobre edward vivía sólo castillo encantadora joven trabajaba firma avon llevó casa junto familia criatura tan especial edward preparada vivir ciudad tan extravagante falsa suburbia	Fantasía
pasado tres años danny ocean george clooney equipo –liderado detallista rusty ryan brad pitt prometedor carterista linus caldwell matt damon experto explosivos basher tarr don cheadle desvalijador cajas fuertes frank catton bernie mac – llevaron cabo audaces lucrativos atracos historia robando despiadado empresario terry benedict andy garcia último centavo guardaba impenetrable cámara acorazada vegas después repartir 160 millones dólares conseguidos cada conocidos miembros equipo ocean tratado portarse bien pasar desapercibido llevar vida legal resultado ser difícil disgusto tess julia roberts esposa danny	Suspense
holly golightly bella joven alta sociedad neoyorquina bajo vida alegre esconde gran tristeza holly comportamiento alocado alguna manía ejemplo desayunar contemplando escaparate lujosa joyería tiffanys día muda mismo edificio paul varjak escritor ciernes mientras espera alcanzar éxito nunca llega vive relación mujer madura mantiene holly paul enseguida entablarán bonita amistad	Comedia
marty doc vuelven hacerlo alocada secuela éxito taquilla 1985 dúo viajeros tiempo dirige 2015 cortar raíz problemas familia mcfly cosas salen mal gracias matón biff tannen molesto almanaque deportivo último intento aclarar cosas marty encuentra destino 1955 cara cara padres adolescentes nuevamente	Aventura
vic 13 años nueva instituto pronto hace amiga penélope dos ansiosas encontrar chico enamorarse problema padres vic dejan todavía ir fiestas filmaffinity	Drama
emocional powell siendo desafiado pacientes pabellón psiquiatría prot reclama ser planeta anunciado partida tierra resto pacientes apuntan ir situación deja powell preguntándose acerca propias habilidades distinguir realidad fantasía	Ciencia ficción
siglo xxiii misterioso poder alienígena amenaza tierra evaporando océanos destruyendo atmósfera frenético intento salvar humanidad capitán kirk tripulación viajan tiempo regresan san francisco 1986 encontrándose mundo punks pizza autobuses cambio exacto resultan tan alienígenas encontrado lugares recónditos galaxia	Ciencia ficción
grupo policías angeles enfrenta misterioso asesino descuartiza víctimas salvajismo inusitado pronto jefe grupo capitán harrigan descubrirá enemigo alienígena llegado tierra único propósito practicar caza	Ciencia ficción
londres cementerio calles ahora desiertas reina silencio total tras propagación virus acabó mayor parte población lugar invasión seres terroríficos virus difundió tras incursión laboratorio grupo defensores derechos animales transmitido sangre virus produce efectos devastadores 28 días epidemia extiende país sólo queda puñado supervivientes	Terror
adaptación cómic frank miller autor cómic city famosa batalla termópilas 480 objetivo jerjes emperador persia conquista grecia desencadenó guerras médicas dada gravedad situación rey leónidas esparta gerard butler 300 espartanos enfrentaron ejército persa inmensamente superior	Acción
nave enterprise dirige planeta nimbus iii negociar liberación embajadores secuestrados allí descubrirán jefe banda pariente spock obsesionado encontrar planeta considerado fuente vida	Ciencia ficción
adaptación novela homónima julio verne 1870 debido relatos marineros aseguran haber visto monstruo marino sur pacífico unidos fletan buque guerra destruir bestia altera tranquilidad mares monstruo ataca sirve poderío bélico evitar desastre tras hundimiento buque tripulantes rescatados propio monstruo resulta ser buque capaz sumergirse mar inédito entonces	Aventura
tras años guerra federación imperio klingon disponen celebrar conferencia paz panorama negociación intergaláctica implacables enemigos preocupa almirante kirk nave klingon atacada responsabilizan enterprise ambos mundos preparan puede ser encuentro definitivo	Ciencia ficción
jacques mayol joven francés talento especial buceo ayuda profesor lawrence experimentos marinos niño vivía pequeña población griega junto gran amigo enzo molinari ahora campeón buceo apnea jacques perdió padre trabajaba buzo pesar ello ama mar encima consigue vida llena bajo agua	Aventura
hombre llamado adam despierta encadenado tubo oxidado dentro decrépita cámara subterránea lado encuentra persona encadenada lawrence gordon hombre muerto revolver calibre 38 mano ninguno dos sabe allí sólo poseen casette instrucciones dice gordon debe matar adam ocho horas si falla ambos morirán junto esposa hija recordando investigación asesinato llevada cabo detective llamado tapp gordon descubre adam siendo victimas psicópata conocido jigsaw sólo quedan unas horas desenredar complicado rompecabezas inmersos asesino dejado únicamente unas pistas dos sierras mano demasiados débiles cortar cadena ata suficientemente fuertes cortar carne huesos	Terror
imponente nueva york jack jeff bridges locutor radio caído desgracia parry robin williams enajenado profesor historia emprenden búsqueda santo grial	Comedia
boston sufre conmoción explosión tal ferocidad deja aliento incluso miembros duros brigada antiexplosivos ciudad todas pruebas apuntan terrorista temible hábil enfrentado nunca enigma excepto jefe unidad jimmy dove enfrentado adversario mortal dove consideraba parte pasado enterrado inicia persecución tan personal desesperada	Acción
silvia broome nacida áfrica intérprete naciones unidas oye cómo amenazan muerte presidente africano acusado genocidio país días dará discurso asamblea general tobin keller agente federal encargado protegerla comienzan levantarse sospechas ideales motivos	Crimen
washington dc año 2054 policía utiliza tecnología psíquica arrestar enjuiciar asesinos cometan crimen futuro puede predecir culpables detenidos unidad élite precrime puedan delinquir pruebas basan precogs tres seres psíquicos cuyas visiones asesinatos nunca fallado	Acción
bean trabaja vigilante prestigioso royal national gallery jefes hartos quieren despedirlo causa continuas meteduras pata pueden hacerlo cuenta recomendación director museo asegurarse incompetencia quede manifiesto ingenian plan enviarle ee.uu experto arte fin adquirir cuadro valioso mundo	Comedia
1945 terminada segunda guerra mundial jake geismar george clooney corresponsal guerra norteamericano vuelve berlín informar conferencia postdam reunirá truman churchill stalin mismo tiempo ve envuelto turbulento asunto intentar ayudar lena brandt cate blanchett antigua amante cuyo marido buscado americanos rusos	Drama
jimmy niño dificultades comunicación logra escapar centro internado ayuda medio hermano corey viaje hacia california unen haley niña misma situación deciden acudir concurso videojuegos celebra angeles descubren jimmy experto	Aventura
jackie brown pam grier azafata vuelo necesita dinero hace correo robbie mafioso buscado policía parece ir bien día sorprendida aduana acusada tráfico drogas evasión capital sólo podrá evitar ingreso prisión si acepta propuesta policía ayudarles llegar robbie	Crimen
gran bretaña futuro indeterminado alex joven agresivo dos pasiones violencia desaforada beethoven jefe banda drugos dan rienda suelta instintos salvajes apaleando violando aterrorizando población escalada terror llega asesinato alex detenido prisión someterá voluntariamente innovadora experiencia reeducación pretende anular drásticamente cualquier atisbo conducta antisocial	Ciencia ficción
slevin vida ido bien casa acaba ser declarada ruinas sorprendido novia cama intento perder vista ángeles tiempo marcha vivir nueva york apartamento amigo nick fisher dos peores gángsteres ciudad rabino jefe antiguos socios ahora enemigos irreconciliables cruzarán vida pretenda vengar muerte hijo asesinando primogénito idea desencadenar guerra bandas buscar jugador deba dinero jefe obligarle matar hijo rabino	Drama
bienvenidos city ciudad policías corruptos atractivas damas vigilantes desesperados buscando venganza redención ambas cosas universo héroes inverosímiles intentan hacer correcto city ciudad vive luz oscuridad llena personajes singulares ejemplo marv mickey rourke superviviente busca vengar muerte único amor dwight clive owen investigador privado intenta dejar problemas atrás después policía asesinado dwight parará proteger amigos finalmente historia hartigan bruce willis último policía honesto city va tras pista joven manos sádico hijo senador resultados inesperados	Suspense
shanghai 1942 ciudad ocupada japoneses señora mak mujer rica sofisticada recuerda cómo empezó 1938 verdadero nombre mak sino wong chia chi estallar ii guerra mundial 1939-1945 padre huyó inglaterra dejó china estudiante universitaria conoció kuang yu min acababa fundar compañía teatro fomentar patriotismo wong chia chi convirtió primera actriz compañía kuang parte convenció grupo estudiantes asesinaran señor yee importante colaborador japoneses wong chia chi colaboró plan haciéndose pasar señora mak cometido hacerse amiga mujer yee ganarse confianza éste seducirlo iba sucediendo según previsto produjo acontecimiento inesperado	Acción
sórdidas calles city hombre busca venganza dwight trata ajustar cuentas misteriosa ava lord letal mujer traicionó nancy intenta superar muerte hartigan johny peligrosa misión acabar mayor villano city propósito conocerá joven stripper marcy	Crimen
detective george montgomery busca valiosísima moneda sido robada colección acaudalada mujer pesquisa involucrados encuentran muerte manos organización delictiva ansía hallar preciada moneda	Crimen
clara hans dos terroristas izquierdas huyen policía hace quince años hija jeanne adolescente cada vez rebelde enamora muchacho desconocido convierte amenaza seguridad padres	Drama
siglo xiv comienza hermosa mañana finales noviembre 1327 monje franciscano antiguo inquisidor acompañado novicio discípulo –quien relata historia– acuden abadía benedictina situada norte italia intentar resolver crimen estancia van desapareciendo misteriosamente religiosos después hallan muertos gracias información aportada monjes guillermo va esclareciendo hechos móvil crímenes parecen ser antiguos tratados custodian biblioteca complejo dice mayor mundo cristiano ¿quién asesino ¿qué motivó muerte víctimas nadie sabe…	Drama
james kirk montgomery scott pavel chekov asisten viaje inaugural uss enterprise-b requerido ayudar convoy naves hallan atrapadas cinturón energía debido inexperiencia capitán kirk decide ayudar cubierta hallaba destruida ráfaga energía dado muerto	Ciencia ficción
amelie chica demás visto pez colores deslizarse hacia alcantarillas municipales madre morir plaza notre-dame padre dedicar afecto gnomo jardín repente veintidós años descubre objetivo vida arreglar vida demás partir entonces inventa toda clase estrategias intervenir den cuenta existencia varias personas entorno portera pasa días bebiendo vino oporto georgette estanquera hipocondríaca hombre cristal vecino sólo ve mundo través reproducción cuadro renoir	Comedia
lily miriam hopkins carterista hace pasar condesa conoce venecia famoso ladrón gaston monescu herbert marshall vez hace pasar barón enamoran gaston roba aristócrata françois fileba huye lily descubran casi año después parís gaston roba bolso diamantes incrustados viuda mariette colet devuelve cautiva tal forma contrata secretario	Comedia
atrapado 1955 marty mcfly entera muerte doc brown 1885 debe viajar tiempo salvarlo combustible delorean dos deben averiguar cómo escapar viejo oeste emmett asesinado	Aventura
¿qué clase hombre desafiaría rey historia épica medieval independencia escocia siglo xiii basada leyenda william wallace montañés escocés arrastra clan luchar tiranía rey eduardo i inglaterra después brutal asesinato joven esposa ingleses wallace sólo busca venganza hambrientos inferior número wallace lidera patriotas escoceses consigue organizar ejército guerreros sedientos libertad logrando recuperar ello espíritu haría escocia libre siempre	Acción
tropas hitler invaden varsovia ciudad compañía teatro iba representar obra ve obligada sustituirla hamlet mientras esposa actor principal empieza flirtear apuesto oficial	Comedia
capitán enterprise encuentra nuevo adversarios borg intenta impedir modificar historia conquistar tierra siglo xxi medio viaje tiempo impediría primer vuelo warp raza humana consiguiente primer contacto raza extraterrestre vulcanos	Ciencia ficción
jean-luc picard capitán uss enterprise recibe mensaje flota parecer comandante data encontraba estudiando sociedad primitiva sufrido cortocircuito revelado existencia equipo investigación habitantes planeta ba'ku pronto descubrirá intentaba defender ésta sociedad inocente aspiraciones	Ciencia ficción
policía romulana obtiene adn capitán picard fabrican clon llamado shinzon finalidad introducirlo federación plan queda envían clon minas dilitio remo planeta hermano rómulo capital imperio romulano shinzon organiza golpe gracias fuerzas remanas imbatible nave erigiéndose nuevo pretor romulano	Ciencia ficción
futuro lejano gran bretaña país totalitario dirigido mano hierro tirano john hurt tarde tras toque queda nocturno joven evey natalie portman rescatada plena calle misterioso enmascarado cuyo nombre v hugo weaving extraño personaje explica cuáles planes combatir falta libertad partir momento acciones v objetivo hacer estallar país revolución gobierno fascista	Acción
nueva york 1972 charlie harvey keitel joven italoamericano 27 años trata ascender mafia nueva york dicho ascenso ve obstaculizado sentimiento responsabilidad hacia imprudente amigo johnny boy robert niro	Drama
tensión cuatro trabajadores compañía petrolífera estallará peligroso viaje transportan nitroglicerina	Drama
1994 guerra civil ruanda odios ancestrales hutu etnia dominante tutsi provocan asesinato presidente país disturbios calles finalmente terrible matanza dos etnias paul hutu trabaja gerente hotel kigali empiezan disturbios decide mejor refugio precisamente hotel hacia allí organiza huida desesperada acompañado sólo familia sino vecinos tutsi basada hechos reales	Drama
pintor paul gauguin lleva vida acomodada agente bolsa parís decide abandonarlo dedicarse pintar 1891 instala tahiti vuelta parís exposición 1897 resulta fracaso paul gauguin vuelve mares sur acabar obra	Drama
elitista estricto colegio privado nueva inglaterra grupo alumnos descubrirá poesía significado carpe diem importancia perseguir sueños gracias excéntrico profesor despierta mentes medio métodos convencionales	Drama
miss marple pertenece consejo administración buque escuela miembros sido asesinado inspector lleva investigación concluye muerte debido fallo cardíaco miss marple cree sido envenenado tras examinar caja rapé muerto cuarta última película margaret rutherford papel miss marple	Drama
lorelei dorothy dos cantantes hacen crucero unidos parís rubia morena belleza encanto seducirán pasaje dos mismo objetivo casarse millonario inconveniente lorelei novio cuyo padre contrató detective siguiera	Música
rabino nueva york verá envuelto tremendo lío terroristas árabes neuróticos personajes	Comedia
prisión brandenburgo año 2000 martin schultz 36 años edad puesto libertad tras 11 años cárcel calidad ciudadano anterior república democrática alemana berlín vivió caída muro berlín celda prisión ser liberado entregan objetos llevaba momento detención carnet identidad rda color azul permiso conducir rda cartera dinero rda filmaffinity	Comedia
crítico teatral acaba casarse decide visitar ancianas tías marcharse luna miel visita descubrirá encantadoras viejecitas manera peculiar practicar caridad	Comedia
debido malentendido roger thornhill ejecutivo mundo publicidad espías confunden agente gobierno llamado george kaplan secuestrado tres individuos llevado mansión interrogado consigue huir maten día siguiente regresa casa acompañado policía rastro personas descrito	Misterio
