sinopsis	genero
dram ambient poloni 1982 plen guerr fri general wojciech jaruzelski jef suprem part comun gobiern pais baj ley marcial ejerc especial represion ilegal sindicat obrer solidar cre astiller gdansk	Drama
harry pott regres quint año hogwarts aun sacud tragedi ocurr torne tres mag deb ministr magi nieg regres lord voldemort harry conviert centr atencion comun magic mientr luch problem colegi inclu nuev profesor dolor umbridg intent aprend misteri orden fenix	Aventura
raf danny crec junt zon rural estadounidens amist prolong larg años fil ejercit air dos pilot combat raf encontr evelyn valient enfermer amor vid pront llam serv fuerz aere britan combat nazis represent ejercit estadounidens mientr danny evelyn envi bas aere pearl harbor hawai vez alli ambos enamor mientr raf derrib combat sorpres ambos raf sobreviv regres pearl harbor complic produc mortal bombarde part ejercit japones	Acción
enfrent futur inciert witek jov polac estudi medicin decid interrump temporal estudi cog tren ir varsovi	Drama
tras sufr ataqu monstruos jabal maldit jov ashitak emprend camin busc cur deteng infeccion mientr human acab bosqu dios convert temibl besti hac posibl proteg encabez mononok princes guerrer ashikat deb escog band decid si ayud hombr deidad intent deten maldicion her extiend cuerp cuartel	Aventura
chihir niñ diez años mud padr nuev hog camin famili top enorm edifici roj cuy centr abre larg tunel lad pasadiz dibuj ciud fantasm restaur abandon ciud padr chihir encuentr gran varied plat delici decid qued com prob boc transform cerd pres panic chihir huy empiez desmaterializ enigmat haku explic funcion univers caid salv padr niñ enfrent terribl yub aspect arpi diabol	Animación
jul vincent dos asesin sueld poc luc trabaj marsellus wallac vincent confies jul marsellus ped cuid mia muj jul recomiend prudenci peligr sobrepas novi jef lleg hor trabaj ambos deb pon man obra mision recuper misteri maletin	Suspense
tras pas unas merec vacacion franci agent secret jam bond recib llam jef m realiz peligr mision relacion diamant brut desaparec	Aventura
detall cronic famos gir grup rock britan the rolling ston realiz unid 1969 culmin desastr tragic conciert celebr 6 diciembr altamont speedway fre festival event trascendent histor pues marc final gener paz amor convirt golp gener desengañ	Documental
dram belic bas histori real regimient escoces captur japones ii guerr mundial 1939-1945 vio oblig constru tristement famos via ferroviari muert	Drama
siempr interes ofrec herman coen firm divert inclasific comedi eficac gir dramat narr histori tres reclus tras escap carcel sureñ decid plen fug gan diner grab cancion exit destac simpat clooney demuestr talent comedi llev glob oro mejor music band sonor pelicul alcanz gran	Aventura
aclam documental film d.a pennebak cubr principal gir britan ofrec bob dylan primaver 1965 trobador folk american nombr real robert allen zimmerm cont sol 23 años gir dylan apen 3 seman document detall cam sig alli va aeropuert hotel mostr convers conciert ademas cont aparicion artist joan baez donov alan pric documental tiemp agrand import influenci filmaffinity	Documental
circ llen ser deform tull person divers amput hans enan hered fortun part moment cleopatr bell contorsion intent seduc hac diner logr objet traz plan cont complic hercul forzud circ	Drama
phil hombr tiemp caden television envi año punxstawnwey cubr inform festival dia marmot viaj regres phil equip ven sorprend torment oblig regres pequeñ ciud mañan siguient levant phil escuch radiodespert mism program mañan anterior	Romance
cond dracul abandon carpat trasl londr llev sirvient contabl vez instal enamor jov promet empiez visit noch va beb sangr convert asi espos malest sufr jov alert famili busc ayud doctor van helsing	Terror
krest viv copenhag integr circul yuppi ciud brillant futur noch bod suen telefon llam lejan inform muert padr krest ve oblig explic situacion mund cre inclu espos ningun parient cercan krest regres arruin granj padr viv herman mayor hombr aspect desaliñ solitari facultad mental merm impid val mism avergonz ver com irremedi va sal luz pas pueblerin trat manten alej muj invent mentir tras	Drama
pelicul pedr almodov explor abus sexual iglesi catol español dec 1960 pelicul trat dos niñ maltrat escuel catol luch enfrent tard ident sexual odi haci sacerdot	Drama
donni chic american dot gran inteligent imagin tras escap milagr muert casi segur comienz sufr alucin llev actu nunc imagin descubr mund insolit alrededor pues vision gran conejit manipul comet seri crimen	Fantasía
veran 1963 dos vaquer ennis mar jack twist conoc mientr hac col ser contrat rancher joe aguirr dos aspir consegu trabaj establ cas form famili aguirr envi cuid gan majestu montañ brokeback ambos surg sentimient camarad deriv haci relacion intim conclu veran abandon brokeback segu camin diferent	Drama
mitic pelicul antibel plasm sentimient sensacion desilusion grup joven estudi envi frent primer guerr mundial 1914-1918 adapt novel homonim escritor aleman erich mar remarqu estren provoc enfrent nazis comun	Drama
dos angel sobrevuel berlin ciud divid mur vergüenz sol visibl niñ hombr corazon pur testig impotent pued cambi curs acontec sient gran compasion ser human decid conoc sentimient mortal enamor jov trapec	Drama
principi años 70 bess watson ingenu jov puebl coster escoci enamor jan stell skarsgård hombr mundan trabaj plataform petrolifer pes oposicion rig comun puritan pertenec bess jan cas tras bod vuelv trabaj cuent dias esper vuelt bess creyent devot cre amor bendec ciel dia suced terribl accident primer pelicul trilog corazon dor lars von tri	Drama
chin año 43 1779 ambient histori dinast quing li mu bai virtuos artes marcial pod espad magic conoc destin verd este quier segu siend guerrer decid darl espad mejor amig sir lleg moment entreg conf enamor guerrer yu shu lien encarg llev ciud pekin encuentr compañer embarg noch enmascar entra cas sir rob espad asi mu bai shu lien lanz busqued destin verd despert ello viej fantasm pas	Aventura
doc años antoin doinel ve oblig sol conviv problem conyugal padr atrev afront sin soport exigent sever profesor dia asust cumpl castig maestr impuest decid hac novill amig ren inesper ve madr compañ hombr culp mied arrastr seri mentir riñ van cal anim des dej atras problem sueñ conoc mar traz ren plan escap	Drama
conmovedor histori chic sordomud envi plataform petrolifer cuid hombr qued cieg terribl accident chic habil especial conect hombr bord	Romance
corr año 2019 policial polit trampos sect religi revolucionari proyect cientif secret combin caus atmosfer explos neo-toky grup rival quier control akir chic extrañ poder psiquic sid manten baj custodi criogen 30 años medi tens atmosfer jov psiquic llam tetsu liber akir	Animación
par asesin escrupul consig huir prision dej tras horribl reguer crimen malhumor detectiv jack cat qued opcion sac timador reggi hammond penitenci ayud encontr criminal embarg sol dispondran 48 hor hammond deb regres carcel	Suspense
canfield mckay hered enemist pas padr hij much gener caprich destin willi mckay bust keaton cog tren nuev york conoc virgini canfield natali talmadg	Comedia
sigl xxiii almir jam kirk nav enterpris encomiend dificil mision neutraliz extrañ cuerp colision tierr oficial spock capitan willard deck asesor ili doctor mccoy ayud almir kirk descubr naturalez cuerp sideral provist mecan inteligent orig terrestr expedicion enterpris localiz ente entonc aprest introduc centr oper	Ciencia ficción
bob harris charlott dos norteamerican encuentr toki bob estrell cin median edad ven rod anunci charlott muj jov acompañ tod part mar fanat trabaj incapac dorm camin bob charlott cruz casual tard nac sorprendent amist aventur junt vid nocturn toki compart inolvid experient habit ciud termin descubr nuev maner ver vid	Drama
enterpris transport grup cientif dispon pon prueb mayor experiment jamas imagin hombr formacion vid planet inert	Acción
batman/bruc wayn regres continu guerr crim ayud tenient jim gordon fiscal distrit harvey dent batm propon destru crim organiz ciud gotham triunvirat demuestr eficaci repent aparec jok nuev criminal desencaden caos aterr ciudadan	Drama
extrañ comedi acerc dos herman wilbur quier suicid harbour trat evit padr muer dej libr conoc muj har vid mejor tra nuev problem	Comedia
tras desaparicion spock creacion planet genesis tripul enterpris dispon localiz cuerp compañer peticion padr este	Ciencia ficción
dos joven enferm terminal dedic viv intens aloc ultim dias salt tod norm histori narr combin mod singul dram comedi present situacion dispar provoc ris aunqu anhel intim protagon revel limit mar aleman thom jahn logr impregn entid dramat atrev pelicul gan premi mejor pelicul festival sitg 1997	Comedia
expuls noch apartament compart novi dor tras ser sorprend esta compañ muj atract alex qued call alli conoc walt homosexual atraid llev fiest gay present norbert propietari gran apartament import compart pues atraid alex	Comedia
l'arrive d'un train à ciotat dud film famos histori imag tren lleg estacion pas cerc cam mientr reduc veloc convirt rapid escen absolut icon curi recient invencion llam cinematograf	Documental
danny oce carismat ladron tan sol 24 hor despues cumpl larg conden prision plan proxim delit objet realiz mayor atrac casin histori ello form equip once hombr cad mejor camp embarg surg problem inesper dueñ local terry benedic sal tess ex-muj	Suspense
eras vez castill viv inventor dedic part vid cre criatur perfect llam edward inventor mur repent dej incomplet creacion vez ded unas horribl man hoj tijer pobr edward viv sol castill encant jov trabaj firm avon llev cas junt famili criatur tan especial edward prepar viv ciud tan extravag fals suburbi	Fantasía
pas tres años danny oce georg clooney equip –lider detall rusty ryan brad pitt prometedor carter linus caldwell matt damon expert explos bash tarr don cheadl desvalij caj fuert frank catton berni mac – llev cab audac lucrat atrac histori rob despiad empresari terry benedict andy garci ultim centav guard impenetr cam acoraz veg despues repart 160 millon dolar consegu cad conoc miembr equip oce trat port bien pas desapercib llev vid legal result ser dificil disgust tess juli roberts espos danny	Suspense
holly golightly bell jov alta socied neoyorquin baj vid alegr escond gran tristez holly comport aloc algun man ejempl desayun contempl escaparat lujos joy tiffanys dia mud mism edifici paul varjak escritor ciern mientr esper alcanz exit nunc lleg viv relacion muj madur mantien holly paul ensegu entabl bonit amist	Comedia
marty doc vuelv hac aloc secuel exit taquill 1985 duo viajer tiemp dirig 2015 cort raiz problem famili mcfly cos sal mal graci maton biff tann molest almanaqu deport ultim intent aclar cos marty encuentr destin 1955 car car padr adolescent nuev	Aventura
vic 13 años nuev institut pront hac amig penelop dos ansi encontr chic enamor problem padr vic dej todav ir fiest filmaffinity	Drama
emocional powell siend desafi pacient pabellon psiquiatr prot reclam ser planet anunci part tierr rest pacient apunt ir situacion dej powell pregunt acerc propi habil distingu realid fantas	Ciencia ficción
sigl xxiii misteri pod alienigen amenaz tierr evapor ocean destru atmosfer frenet intent salv human capitan kirk tripul viaj tiemp regres san francisc 1986 encontr mund punks pizz autobus cambi exact result tan alienigen encontr lugar recondit galaxi	Ciencia ficción
grup polic angel enfrent misteri asesin descuartiz victim salvaj inusit pront jef grup capitan harrig descubr enemig alienigen lleg tierr unic proposit practic caz	Ciencia ficción
londr cementeri call ahor desiert rein silenci total tras propag virus acab mayor part poblacion lug invasion ser terrorif virus difund tras incursion laboratori grup defensor derech animal transmit sangr virus produc efect devast 28 dias epidemi extiend pais sol qued puñ supervivient	Terror
adapt comic frank mill autor comic city famos batall termopil 480 objet jerj emper persi conquist greci desencaden guerr medic dad graved situacion rey leon espart gerard butl 300 espartan enfrent ejercit pers inmens superior	Acción
nav enterpris dirig planet nimbus iii negoci liber embaj secuestr alli descubr jef band parient spock obsesion encontr planet consider fuent vid	Ciencia ficción
adapt novel homonim juli vern 1870 deb relat mariner asegur hab vist monstru marin sur pacif unid flet buqu guerr destru besti alter tranquil mar monstru atac sirv poderi belic evit desastr tras hundimient buqu tripul rescat propi monstru result ser buqu capaz sumerg mar inedit entonc	Aventura
tras años guerr feder imperi klingon dispon celebr conferent paz panoram negoci intergalact implac enemig preocup almir kirk nav klingon atac responsabiliz enterpris ambos mund prep pued ser encuentr definit	Ciencia ficción
jacqu mayol jov frances talent especial buce ayud profesor lawrenc experiment marin niñ viv pequeñ poblacion grieg junt gran amig enzo molinari ahor campeon buce apne jacqu perd padr trabaj buz pes ello ama mar encim consig vid llen baj agu	Aventura
hombr llam adam despiert encaden tub oxid dentr decrepit cam subterrane lad encuentr person encaden lawrenc gordon hombr muert revolv calibr 38 man ningun dos sab alli sol pos casett instruccion dic gordon deb mat adam ocho hor si fall ambos mor junt espos hij record investig asesinat llev cab detectiv llam tapp gordon descubr adam siend victim psicopat conoc jigsaw sol qued unas hor desenred complic rompecabez inmers asesin dej unic unas pist dos sierr man demasi debil cort caden ata suficient fuert cort carn hues	Terror
imponent nuev york jack jeff bridg locutor radi caid desgraci parry robin williams enajen profesor histori emprend busqued sant grial	Comedia
boston sufr conmocion explosion tal feroc dej alient inclus miembr dur brig antiexpl ciud tod prueb apunt terror temibl habil enfrent nunc enigm except jef unid jimmy dov enfrent adversari mortal dov consider part pas enterr inici persecu tan personal desesper	Acción
silvi broom nac afric interpret nacion unid oye com amenaz muert president african acus genocidi pais dias dar discurs asamble general tobin kell agent federal encarg proteg comienz levant sospech ideal motiv	Crimen
washington dc año 2054 polic utiliz tecnolog psiquic arrest enjuici asesin comet crim futur pued predec culpabl deten unid elit precrim pued delinqu prueb bas precogs tres ser psiquic cuy vision asesinat nunc fall	Acción
bean trabaj vigil prestigi royal national gallery jef hart quier desped caus continu metedur pat pued hac cuent recomend director muse asegur incompetent qued manifiest ingeni plan envi ee.uu expert arte fin adquir cuadr valios mund	Comedia
1945 termin segund guerr mundial jak geism georg clooney corresponsal guerr norteamerican vuelv berlin inform conferent postdam reun trum churchill stalin mism tiemp ve envuelt turbulent asunt intent ayud len brandt cat blanchett antigu amant cuy mar busc american rus	Drama
jimmy niñ dificultad comun logr escap centr intern ayud medi herman corey viaj haci californi unen haley niñ mism situacion decid acud concurs videojueg celebr angel descubr jimmy expert	Aventura
jacki brown pam gri azafat vuel necesit diner hac corre robbi mafios busc polic parec ir bien dia sorprend aduan acus trafic drog evasion capital sol podr evit ingres prision si acept propuest polic ayud lleg robbi	Crimen
gran bretañ futur indetermin alex jov agres dos pasion violenci desafor beethov jef band drug dan riend suelt instint salvaj apal viol aterroriz poblacion escal terror lleg asesinat alex deten prision somet voluntari innov experient reeduc pretend anul drastic cualqui atisb conduct antisocial	Ciencia ficción
slevin vid ido bien cas acab ser declar ruin sorprend novi cam intent perd vist angel tiemp march viv nuev york apartament amig nick fish dos peor gangster ciud rabin jef antigu soci ahor enemig irreconcili cruz vid pretend veng muert hij asesin primogenit ide desencaden guerr band busc jugador deb diner jef oblig mat hij rabin	Drama
bienven city ciud polic corrupt atract dam vigil desesper busc venganz redencion ambas cos univers her inverosimil intent hac correct city ciud viv luz oscur llen personaj singular ejempl marv mickey rourk supervivient busc veng muert unic amor dwight cliv owen investig priv intent dej problem atras despues polic asesin dwight par proteg amig final histori hartig bruc willis ultim polic honest city va tras pist jov man sadic hij senador result inesper	Suspense
shanghai 1942 ciud ocup japones señor mak muj ric sofistic recuerd com empez 1938 verdader nombr mak sin wong chi chi estall ii guerr mundial 1939-1945 padr huy inglaterr dej chin estudi universitari conoc kuang yu min acab fund compañ teatr foment patriot wong chi chi convirt primer actriz compañ kuang part convenc grup estudi asesin señor yee import colabor japones wong chi chi colabor plan hac pas señor mak comet hac amig muj yee gan confianz este seduc iba suced segun previst produj acontec inesper	Acción
sord call city hombr busc venganz dwight trat ajust cuent misteri ava lord letal muj traicion nancy intent super muert hartig johny peligr mision acab mayor villan city proposit conoc jov stripp marcy	Crimen
detectiv georg montgomery busc valiosisim moned sid rob coleccion acaudal muj pesquis involucr encuentr muert man organiz delict ansi hall preci moned	Crimen
clar hans dos terror izquierd huy polic hac quinc años hij jeann adolescent cad vez rebeld enamor muchach desconoc conviert amenaz segur padr	Drama
sigl xiv comienz hermos mañan final noviembr 1327 monj franciscan antigu inquisidor acompañ novici discipul –qui relat historia– acud abad benedictin situ nort itali intent resolv crim estanci van desaparec misteri religi despues hall muert graci inform aport monj guillerm va esclarec hech movil crimen parec ser antigu trat custodi bibliotec complej dic mayor mund cristian ¿quien asesin ¿qu motiv muert victim nadi sabe…	Drama
jam kirk montgomery scott pavel chekov asist viaj inaugural uss enterprise-b requer ayud convoy nav hall atrap cinturon energ deb inexperient capitan kirk decid ayud cubiert hall destru rafag energ dad muert	Ciencia ficción
ameli chic demas vist pez color desliz haci alcantarill municipal madr mor plaz notre-dam padr dedic afect gnom jardin repent veintidos años descubr objet vid arregl vid demas part entonc invent tod clas estrategi interven den cuent existent vari person entorn porter pas dias beb vin oport georgett estanquer hipocondriac hombr cristal vecin sol ve mund traves reproduccion cuadr ren	Comedia
lily miriam hopkins carter hac pas condes conoc veneci famos ladron gaston monescu herbert marshall vez hac pas baron enamor gaston rob aristocrat françois fileb huy lily descubr casi año despues par gaston rob bols diamant incrust viud mariett colet devuelv cautiv tal form contrat secretari	Comedia
atrap 1955 marty mcfly enter muert doc brown 1885 deb viaj tiemp salv combust delor dos deb averigu com escap viej oest emmett asesin	Aventura
¿qu clas hombr desafi rey histori epic medieval independent escoci sigl xiii bas leyend william wallac montañes escoces arrastr clan luch tiran rey eduard i inglaterr despues brutal asesinat jov espos ingles wallac sol busc venganz hambrient inferior numer wallac lider patriot escoces consig organiz ejercit guerrer sedient libert logr recuper ello espiritu har escoci libr siempr	Acción
trop hitl invad varsovi ciud compañ teatr iba represent obra ve oblig sustitu hamlet mientr espos actor principal empiez flirt apuest oficial	Comedia
capitan enterpris encuentr nuev adversari borg intent imped modific histori conquist tierr sigl xxi medi viaj tiemp imped prim vuel warp raz human consiguient prim contact raz extraterrestr vulcan	Ciencia ficción
jean-luc picard capitan uss enterpris recib mensaj flot parec comand dat encontr estudi socied primit sufr cortocircuit revel existent equip investig habit planet ba'ku pront descubr intent defend esta socied inocent aspir	Ciencia ficción
polic romulan obtien adn capitan picard fabric clon llam shinzon final introduc feder plan qued envi clon min diliti rem planet herman romul capital imperi romulan shinzon organiz golp graci fuerz reman imbat nav erig nuev pretor romulan	Ciencia ficción
futur lejan gran bretañ pais totalitari dirig man hierr tiran john hurt tard tras toqu qued nocturn jov evey natali portm rescat plen call misteri enmascar cuy nombr v hug weaving extrañ personaj explic cual plan combat falt libert part moment accion v objet hac estall pais revolu gobiern fascist	Acción
nuev york 1972 charli harvey keitel jov italoamerican 27 años trat ascend mafi nuev york dich ascens ve obstaculiz sentimient respons haci imprudent amig johnny boy robert nir	Drama
tension cuatr trabaj compañ petrolifer estall peligr viaj transport nitroglicerin	Drama
1994 guerr civil ruand odi ancestral hutu etni domin tutsi provoc asesinat president pais disturbi call final terribl matanz dos etni paul hutu trabaj gerent hotel kigali empiez disturbi decid mejor refugi precis hotel haci alli organiz huid desesper acompañ sol famili sin vecin tutsi bas hech real	Drama
pintor paul gauguin llev vid acomod agent bols par decid abandon dedic pint 1891 instal tahiti vuelt par exposicion 1897 result fracas paul gauguin vuelv mar sur acab obra	Drama
elit estrict colegi priv nuev inglaterr grup alumn descubr poes signific carp diem import persegu sueñ graci excentr profesor despiert ment medi metod convencional	Drama
miss marpl pertenec consej administr buqu escuel miembr sid asesin inspector llev investig conclu muert deb fall cardiac miss marpl cre sid envenen tras examin caj rap muert cuart ultim pelicul margaret rutherford papel miss marpl	Drama
lorelei dorothy dos cantant hac crucer unid par rubi moren bellez encant seduc pasaj dos mism objet cas millonari inconvenient lorelei novi cuy padr contrat detectiv sigu	Música
rabin nuev york ver envuelt tremend lio terror arab neurot personaj	Comedia
prision brandenburg año 2000 martin schultz 36 años edad puest libert tras 11 años carcel calid ciudadan anterior republ democrat aleman berlin viv caid mur berlin celd prision ser liber entreg objet llev moment detencion carnet ident rda color azul permis conduc rda carter diner rda filmaffinity	Comedia
critic teatral acab cas decid visit ancian tias march lun miel visit descubr encant viejecit maner peculi practic carid	Comedia
deb malentend rog thornhill ejecut mund public espi confund agent gobiern llam georg kapl secuestr tres individu llev mansion interrog consig huir mat dia siguient regres cas acompañ polic rastr person descrit	Misterio
nuev macabr aventur siniestr jigsaw hombr muev hil espant jueg aterroriz comun desconcert polic jigsaw vez consegu escap vez ayud nuev aprendiz amand shawne smith mientr polic local intent localiz doctor lynn denlon bah soomekh jeff angus macfayd sab punt convert siguient peon horribl jueg	Terror
decid rap muer despaci aparec nuev victim asesinat sign caracterist jigsaw agent eric matthews donni wahlberg embarc investig exhaust permit deten asesin demasi esfuerz embarg jigsaw ser deten sin part retorc plan ocho victim jug vid ahor toc matthews unirs jueg	Terror
caf acud trabaj inmigr emmi kurowski viud sesent años conoc salem marroqu treintañer induc dueñ bar salem invit emmi bail habl acompañ cas dia siguient qued viv relacion provoc gran escandal vecin visit propietari edifici denunci emmi	Romance
guerr fri 1957 indian jon harrison ford amig mac ray winston acab escap garr agent soviet remot aeropuert decan univers jim broadbent confies amig profesor jon ultim mision indy fracas punt ser desped mientr indian conoc mutt shi labeouf jov rebeld propon trat si ayud resolv problem personal cambi facilit descubr espectacular histori calaver cristal akator encuentr lug remot peru agent soviet dirig fri bell irin spalk cat blanchett mism objet	Aventura
cyborg sid envi futur mision mortal elimin sarah connor jov cuy vid gran import prox años sarah sol protector —kyle reese— envi futur terminator utiliz inteligent excepcional fuerz encontr sarah ¿hay algun form deten cyborg aparent indestruct	Acción
fantasm abuel iren carm maur aparec hij raimund penelop cruz sol lol dueñ niet paul yohan cob tia hij chus lampreav inclus vecin blanc portill pueblecit manch viv abuel vuelt atar cab qued suelt vid	Comedia
granjer californian dos hij cal aron caracter diferent ambos compit cariñ padr situacion cal complic averigu realid madr sol muert sin ademas regent local altern	Drama
tres joven jim stark judy platon coincid comis cad alli motiv distint jim borrach judy escap cas platon acab mat tir cachorr inspector ray descubr tres mantien relacion conflict famili jim judy van recog padr platon hij parej divorci conform visit cri negr viv	Drama
inspir documental soviet kino-nedeli 1918 dzig vertov ruttmann realiz 1927 cont mejor fotograf aleman epoc documental bas vid dia ciud berlin	Documental
tiemp perd espos rebec aristocrat ingles maxim wint conoc montec jov humild dam compañ señor american wint jov cas van viv mansion ingles manderley resident habitual wint pront señor wint da cuent pued borr mar recuerd difunt espos	Misterio
1976 jov cracovi realiz diplomatur cin investig vid obrer llam birkut 50 maner fugaz hero proletari objet investig origin leyend efect provoc	Drama
narr jorn revolucionari astiller naval gdansk danzig protagoniz obrer sindicat solidar veran 1980 mism año period radiofon amig regim comun verd deb cumpl mision difam destac milit sindicat solidar result ser hij hero hombr marmol 1977	Drama
teen brandon siempr des ser chic asi dia decid cort pel ocult pech baj vendaj apret cambi orden nombr pas llam brandon teen filmaffinity	Crimen
dos band adolescent rival todav van colegi asid futur esper joven margin desplaz outsiders acical gomin casi busqued siti socied ven reflej camin rect conllev facil tentacion violenci apen mes propi coppol estren histori pandill juvenil ley call rumbl fish 1983 hipnot relat convencional format inclu inclus toqu onir	Crimen
adapt cinematograf novel profesor unrath heinrich mann narr tragedi sever profesor noch va angel azul cabaret mal fam llev alli alumn acud local seduc encant cantant lola-lol dietrich embarg profesor rath solteron 50 años acab cayend red cabareter part entonc vid descens infi humill degrad moral	Drama
despues huid monstru cre doctor frankenstein siniestr praetorius propon cientif creacion compañer monstru	Drama
guerr cien años sigl xiv xv 1431 juan arco despues hab conduc trop frances victori arrest acus bruj decl hab recib dios mision salv franci proces conden mor hoguer	Drama
bas histori real robert baer georg clooney agent cia pas tod vid trabaj agenci orient medi investig cas terror experient beirut turbulent años ochent envi alli realiz complej mision implic dos empres petrolifer american punt fusion investig agenci federal estadounidens anal matt damon sector energ sed suiz	Drama
rusty jam matt dillon jov sueñ volv tiemp pandill juvenil emul herman mayor mickey rourk dia lid arrastr reput rebeld intoc chic mot ahor herman pues hac dos mes march rusty cit pele	Acción
nuev york 1963 radi suen the four seasons smok robinson the shirell ben king cos facil bronx chic form band callejer wanderers integr chic orig italian diferent band rival vec raz irreconcili violenci camin direct resolv	Drama
